TEAM_NAME,GAME_DATE,OPP_TEAM,PTS_last_5,FG_PCT_last_5,FG3_PCT_last_5,REB_last_5,DREB_last_5,OREB_last_5,STL_last_5
Atlanta Hawks,2024-10-23,BKN,,,,,,,
Atlanta Hawks,2024-10-25,CHA,,,,,,,
Atlanta Hawks,2024-10-27,OKC,,,,,,,
Atlanta Hawks,2024-10-28,WAS,,,,,,,
Atlanta Hawks,2024-10-30,WAS,,,,,,,
Atlanta Hawks,2024-11-01,SAC,117.6,0.46399999999999997,0.339,42.6,31.8,10.8,10.4
Atlanta Hawks,2024-11-03,NOP,116.6,0.4556,0.3508,41.6,31.6,10.0,9.6
Atlanta Hawks,2024-11-04,BOS,116.8,0.47300000000000003,0.3606,42.0,31.4,10.6,9.4
Atlanta Hawks,2024-11-06,NYK,114.6,0.477,0.3348,40.8,32.0,8.8,9.8
Atlanta Hawks,2024-11-08,DET,115.0,0.4708,0.3388,42.6,31.8,10.8,9.8
Atlanta Hawks,2024-11-09,CHI,115.2,0.46679999999999994,0.3606,43.2,31.8,11.4,10.2
Atlanta Hawks,2024-11-12,BOS,114.8,0.46979999999999994,0.3466,43.0,31.2,11.8,10.2
Atlanta Hawks,2024-11-15,WAS,113.0,0.4572,0.3258,43.6,30.0,13.6,11.4
Atlanta Hawks,2024-11-17,POR,120.2,0.4678,0.3518,46.0,31.0,15.0,11.6
Atlanta Hawks,2024-11-18,SAC,118.0,0.46959999999999996,0.3416,45.8,30.8,15.0,11.2
Atlanta Hawks,2024-11-20,GSW,115.6,0.4728,0.3424,44.4,31.2,13.2,10.2
Atlanta Hawks,2024-11-22,CHI,112.4,0.44720000000000004,0.3338,49.6,34.2,15.4,10.4
Atlanta Hawks,2024-11-25,DAL,113.4,0.4378,0.32999999999999996,49.2,34.8,14.4,9.4
Atlanta Hawks,2024-11-27,CLE,111.4,0.43900000000000006,0.3232,46.0,32.8,13.2,9.4
Atlanta Hawks,2024-11-29,CLE,116.4,0.442,0.3496,46.8,34.0,12.8,8.6
Atlanta Hawks,2024-11-30,CHA,118.0,0.4516,0.3478,50.0,36.4,13.6,9.0
Atlanta Hawks,2024-12-02,NOP,120.0,0.4824,0.355,46.8,34.6,12.2,8.8
Atlanta Hawks,2024-12-04,MIL,120.4,0.4928,0.3488,48.6,37.0,11.6,9.0
Atlanta Hawks,2024-12-06,LAL,120.4,0.48600000000000004,0.347,51.6,38.8,12.8,10.2
Atlanta Hawks,2024-12-08,DEN,120.2,0.49119999999999997,0.3368,51.0,38.8,12.2,11.0
Atlanta Hawks,2024-12-11,NYK,119.0,0.4688,0.2994,49.4,35.4,14.0,11.6
Atlanta Hawks,2024-12-14,MIL,119.2,0.454,0.2968,51.2,35.6,15.6,11.0
Atlanta Hawks,2024-12-19,SAS,114.8,0.43740000000000007,0.3276,49.8,35.0,14.8,9.2
Atlanta Hawks,2024-12-21,MEM,116.2,0.44400000000000006,0.35559999999999997,49.6,35.4,14.2,8.8
Atlanta Hawks,2024-12-23,MIN,111.8,0.44160000000000005,0.3442,48.2,35.0,13.2,9.0
Atlanta Hawks,2024-12-26,CHI,113.0,0.46719999999999995,0.3992,46.8,36.2,10.6,9.6
Atlanta Hawks,2024-12-28,MIA,119.6,0.488,0.41679999999999995,44.0,35.4,8.6,10.4
Atlanta Hawks,2024-12-29,TOR,123.2,0.505,0.4144,44.6,35.6,9.0,11.2
Atlanta Hawks,2025-01-01,DEN,125.2,0.507,0.4102,42.0,32.6,9.4,12.8
Atlanta Hawks,2025-01-03,LAL,126.8,0.49939999999999996,0.4062,42.6,32.0,10.6,12.6
Atlanta Hawks,2025-01-04,LAC,123.8,0.4746,0.34140000000000004,42.8,30.8,12.0,11.6
Atlanta Hawks,2025-01-07,UTA,116.6,0.45760000000000006,0.33540000000000003,42.6,31.4,11.2,12.0
Atlanta Hawks,2025-01-09,PHX,117.4,0.45120000000000005,0.3362,42.0,30.2,11.8,11.8
Atlanta Hawks,2025-01-14,PHX,113.2,0.45200000000000007,0.35,40.4,29.8,10.6,9.6
Atlanta Hawks,2025-01-15,CHI,113.6,0.4497999999999999,0.3634,42.4,30.2,12.2,9.6
Atlanta Hawks,2025-01-18,BOS,115.2,0.44980000000000003,0.3886,44.8,32.4,12.4,9.8
Atlanta Hawks,2025-01-20,NYK,118.0,0.458,0.3676,47.2,33.8,13.4,9.4
Atlanta Hawks,2025-01-22,DET,115.2,0.45620000000000005,0.37239999999999995,46.6,32.4,14.2,10.2
Atlanta Hawks,2025-01-23,TOR,113.0,0.4344,0.3102,49.6,34.0,15.6,10.8
Atlanta Hawks,2025-01-25,TOR,112.4,0.4431999999999999,0.2974,46.0,32.6,13.4,11.0
Atlanta Hawks,2025-01-27,MIN,109.2,0.43979999999999997,0.2964,44.4,32.2,12.2,11.6
Atlanta Hawks,2025-01-28,HOU,103.8,0.4242,0.3036,43.6,31.2,12.4,11.8
Atlanta Hawks,2025-01-30,CLE,101.0,0.41080000000000005,0.2638,43.4,32.4,11.0,12.0
Atlanta Hawks,2025-02-01,IND,103.2,0.4262,0.2988,41.2,31.2,10.0,11.2
Atlanta Hawks,2025-02-03,DET,104.8,0.42960000000000004,0.30419999999999997,42.8,32.4,10.4,10.2
Atlanta Hawks,2025-02-05,SAS,112.4,0.4548,0.33120000000000005,41.6,31.8,9.8,9.0
Atlanta Hawks,2025-02-07,MIL,119.0,0.4812,0.3516,40.4,31.8,8.6,8.0
Atlanta Hawks,2025-02-08,WAS,122.8,0.49820000000000003,0.377,42.8,33.8,9.0,7.0
Atlanta Hawks,2025-02-10,ORL,124.8,0.504,0.3922,43.8,35.2,8.6,6.2
Atlanta Hawks,2025-02-12,NYK,121.8,0.5028,0.39159999999999995,42.8,35.2,7.6,7.0
Atlanta Hawks,2025-02-20,ORL,125.0,0.499,0.37879999999999997,44.8,34.4,10.4,7.8
Atlanta Hawks,2025-02-23,DET,121.6,0.4715999999999999,0.3654,46.0,34.0,12.0,8.2
Atlanta Hawks,2025-02-24,MIA,127.2,0.47379999999999994,0.38659999999999994,43.6,31.8,11.8,8.6
Atlanta Hawks,2025-02-26,MIA,121.8,0.4678,0.3562,45.4,32.6,12.8,10.0
Atlanta Hawks,2025-02-28,OKC,121.2,0.4702,0.3562,44.2,30.8,13.4,9.2
Atlanta Hawks,2025-03-03,MEM,115.4,0.46799999999999997,0.366,44.0,32.4,11.6,8.4
Atlanta Hawks,2025-03-04,MIL,120.2,0.5046,0.396,40.2,29.0,11.2,9.4
Atlanta Hawks,2025-03-06,IND,115.8,0.49560000000000004,0.3806,41.6,30.2,11.4,9.8
Atlanta Hawks,2025-03-08,IND,121.0,0.5109999999999999,0.39580000000000004,40.2,29.2,11.0,8.2
Atlanta Hawks,2025-03-10,PHI,123.2,0.5025999999999999,0.37960000000000005,43.2,30.8,12.4,9.0
Atlanta Hawks,2025-03-12,CHA,125.8,0.513,0.37720000000000004,43.6,30.4,13.2,8.2
Atlanta Hawks,2025-03-14,LAC,124.0,0.4824,0.36219999999999997,45.8,32.8,13.0,8.4
Atlanta Hawks,2025-03-16,BKN,119.4,0.47540000000000004,0.3388,45.2,31.8,13.4,8.0
Atlanta Hawks,2025-03-18,CHA,117.4,0.46240000000000003,0.3316,44.2,31.0,13.2,9.4
Atlanta Hawks,2025-03-22,GSW,120.2,0.4772,0.3706,43.8,31.6,12.2,9.8
Atlanta Hawks,2025-03-23,PHI,118.6,0.483,0.37299999999999994,43.4,32.0,11.4,10.0
Atlanta Hawks,2025-03-25,HOU,120.4,0.5094000000000001,0.387,42.6,31.8,10.8,9.6
Atlanta Hawks,2025-03-27,MIA,123.6,0.5088,0.3936,42.2,30.4,11.8,9.6
Atlanta Hawks,2025-03-30,MIL,123.2,0.5189999999999999,0.422,41.8,30.8,11.0,9.2
Atlanta Hawks,2025-04-01,POR,125.4,0.5177999999999999,0.39499999999999996,41.8,30.0,11.8,8.8
Atlanta Hawks,2025-04-02,DAL,123.2,0.493,0.3554,41.6,29.4,12.2,10.2
Atlanta Hawks,2025-04-05,NYK,120.4,0.4692,0.3406,42.4,29.8,12.6,9.4
Atlanta Hawks,2025-04-06,UTA,118.6,0.479,0.3416,41.6,30.8,10.8,10.0
Atlanta Hawks,2025-04-08,ORL,125.6,0.48900000000000005,0.3612,42.8,31.0,11.8,9.4
Atlanta Hawks,2025-04-10,BKN,119.0,0.47359999999999997,0.35860000000000003,41.8,30.2,11.6,8.8
Atlanta Hawks,2025-04-11,PHI,123.0,0.49860000000000004,0.3982,43.0,32.4,10.6,8.6
Atlanta Hawks,2025-04-13,ORL,124.2,0.5078,0.39740000000000003,45.0,33.2,11.8,9.0
Boston Celtics,2024-10-22,NYK,,,,,,,
Boston Celtics,2024-10-24,WAS,,,,,,,
Boston Celtics,2024-10-26,DET,,,,,,,
Boston Celtics,2024-10-28,MIL,,,,,,,
Boston Celtics,2024-10-30,IND,,,,,,,
Boston Celtics,2024-11-01,CHA,125.8,0.4584,0.40540000000000004,43.0,31.4,11.6,7.8
Boston Celtics,2024-11-02,CHA,124.2,0.45280000000000004,0.37239999999999995,43.2,31.6,11.6,9.0
Boston Celtics,2024-11-04,ATL,122.4,0.44720000000000004,0.3584,42.2,31.4,10.8,8.4
Boston Celtics,2024-11-06,GSW,122.2,0.4598,0.3322,44.8,34.4,10.4,9.4
Boston Celtics,2024-11-08,BKN,120.8,0.4454000000000001,0.326,46.6,34.4,12.2,9.4
Boston Celtics,2024-11-10,MIL,116.0,0.45119999999999993,0.31220000000000003,44.2,34.8,9.4,8.6
Boston Celtics,2024-11-12,ATL,113.8,0.4372,0.3262,44.4,35.6,8.8,7.2
Boston Celtics,2024-11-13,BKN,114.4,0.4508,0.3446,42.4,34.0,8.4,7.8
Boston Celtics,2024-11-16,TOR,117.6,0.4614,0.3748,41.4,32.8,8.6,6.2
Boston Celtics,2024-11-19,CLE,120.4,0.46580000000000005,0.3732,40.4,31.6,8.8,5.6
Boston Celtics,2024-11-22,WAS,122.8,0.4816,0.42780000000000007,41.0,31.2,9.8,5.0
Boston Celtics,2024-11-24,MIN,121.8,0.485,0.39960000000000007,41.2,31.0,10.2,6.2
Boston Celtics,2024-11-25,LAC,120.0,0.4686,0.39459999999999995,42.4,31.8,10.6,5.8
Boston Celtics,2024-11-29,CHI,117.4,0.46319999999999995,0.3852,42.8,33.0,9.8,6.4
Boston Celtics,2024-12-01,CLE,119.8,0.4744,0.4016,44.6,35.4,9.2,7.2
Boston Celtics,2024-12-02,MIA,118.0,0.45199999999999996,0.36360000000000003,45.4,36.0,9.4,8.6
Boston Celtics,2024-12-04,DET,118.0,0.4548,0.3848,47.6,37.4,10.2,7.4
Boston Celtics,2024-12-06,MIL,122.6,0.46559999999999996,0.389,48.2,36.8,11.4,8.6
Boston Celtics,2024-12-07,MEM,119.6,0.4554,0.367,47.0,35.8,11.2,7.6
Boston Celtics,2024-12-12,DET,116.2,0.4354,0.3418,47.0,35.0,12.0,7.6
Boston Celtics,2024-12-15,WAS,118.6,0.45760000000000006,0.3558,48.0,36.4,11.6,6.6
Boston Celtics,2024-12-19,CHI,119.4,0.45600000000000007,0.36500000000000005,48.4,36.4,12.0,7.8
Boston Celtics,2024-12-21,CHI,115.0,0.4386,0.3358,48.8,37.4,11.4,6.8
Boston Celtics,2024-12-23,ORL,117.4,0.4426,0.3382,52.4,39.0,13.4,7.4
Boston Celtics,2024-12-25,PHI,114.0,0.4506,0.3266,50.4,38.4,12.0,8.8
Boston Celtics,2024-12-27,IND,112.2,0.43899999999999995,0.3248,50.4,37.4,13.0,8.2
Boston Celtics,2024-12-29,IND,118.2,0.45519999999999994,0.3288,49.6,36.2,13.4,7.8
Boston Celtics,2024-12-31,TOR,119.4,0.4692,0.33799999999999997,48.8,36.0,12.8,7.8
Boston Celtics,2025-01-02,MIN,119.8,0.48119999999999996,0.3738,46.8,35.2,11.6,9.0
Boston Celtics,2025-01-03,HOU,122.6,0.4932,0.40259999999999996,44.8,32.8,12.0,8.2
Boston Celtics,2025-01-05,OKC,121.6,0.5038,0.4184,42.8,31.0,11.8,8.8
Boston Celtics,2025-01-07,DEN,111.6,0.4746,0.3754,42.0,31.4,10.6,8.2
Boston Celtics,2025-01-10,SAC,112.4,0.4822,0.3848,42.0,30.8,11.2,9.2
Boston Celtics,2025-01-12,NOP,106.8,0.45519999999999994,0.336,40.8,30.2,10.6,7.4
Boston Celtics,2025-01-15,TOR,107.2,0.4424,0.31779999999999997,45.6,33.4,12.2,6.6
Boston Celtics,2025-01-17,ORL,104.8,0.4204,0.29,46.4,34.0,12.4,6.6
Boston Celtics,2025-01-18,ATL,110.6,0.4524,0.3426,45.0,32.8,12.2,6.6
Boston Celtics,2025-01-20,GSW,110.0,0.42940000000000006,0.3316,47.4,34.0,13.4,7.0
Boston Celtics,2025-01-22,LAC,115.6,0.45499999999999996,0.3614,48.8,35.4,13.4,7.6
Boston Celtics,2025-01-23,LAL,115.0,0.45899999999999996,0.37839999999999996,44.2,32.8,11.4,8.8
Boston Celtics,2025-01-25,DAL,114.8,0.4568,0.377,43.6,32.6,11.0,8.6
Boston Celtics,2025-01-27,HOU,115.0,0.4372,0.36219999999999997,45.6,33.4,12.2,8.2
Boston Celtics,2025-01-29,CHI,114.4,0.45780000000000004,0.3816,43.2,33.0,10.2,6.4
Boston Celtics,2025-01-31,NOP,113.8,0.4454000000000001,0.38,42.2,32.4,9.8,6.6
Boston Celtics,2025-02-02,PHI,114.0,0.4542,0.382,42.8,33.6,9.2,6.8
Boston Celtics,2025-02-04,CLE,118.4,0.4772,0.3996,42.0,34.0,8.0,6.4
Boston Celtics,2025-02-06,DAL,116.4,0.4734,0.3934,42.4,34.8,7.6,7.6
Boston Celtics,2025-02-08,NYK,118.0,0.47919999999999996,0.40280000000000005,42.2,33.8,8.4,7.2
Boston Celtics,2025-02-10,MIA,119.8,0.4932,0.4184,42.8,33.4,9.4,6.6
Boston Celtics,2025-02-12,SAS,116.8,0.48500000000000004,0.40459999999999996,46.2,37.2,9.0,5.0
Boston Celtics,2025-02-20,PHI,116.4,0.4774,0.3842,49.8,38.8,11.0,5.0
Boston Celtics,2025-02-23,NYK,118.8,0.49240000000000006,0.4022,49.0,38.8,10.2,3.6
Boston Celtics,2025-02-25,TOR,118.4,0.488,0.393,50.8,40.4,10.4,4.8
Boston Celtics,2025-02-26,DET,114.4,0.4744,0.35440000000000005,49.0,38.4,10.6,5.4
Boston Celtics,2025-02-28,CLE,113.2,0.4652,0.376,45.0,33.6,11.4,6.4
Boston Celtics,2025-03-02,DEN,113.2,0.4694,0.3978,41.8,30.6,11.2,6.8
Boston Celtics,2025-03-05,POR,110.4,0.4676,0.3914,41.0,30.0,11.0,7.6
Boston Celtics,2025-03-06,PHI,112.4,0.4614,0.3994,41.6,29.4,12.2,7.0
Boston Celtics,2025-03-08,LAL,114.8,0.4678,0.41979999999999995,43.0,30.0,13.0,6.8
Boston Celtics,2025-03-10,UTA,117.6,0.48040000000000005,0.4024,45.2,31.4,13.8,6.8
Boston Celtics,2025-03-12,OKC,117.2,0.46980000000000005,0.38320000000000004,46.6,33.2,13.4,8.0
Boston Celtics,2025-03-14,MIA,117.6,0.4622,0.36419999999999997,45.8,31.4,14.4,8.4
Boston Celtics,2025-03-15,BKN,112.6,0.45620000000000005,0.35500000000000004,43.6,31.0,12.6,9.0
Boston Celtics,2025-03-18,BKN,111.0,0.45999999999999996,0.3442,42.0,30.0,12.0,8.4
Boston Celtics,2025-03-21,UTA,109.6,0.45339999999999997,0.34240000000000004,43.0,32.0,11.0,7.8
Boston Celtics,2025-03-23,POR,111.0,0.46020000000000005,0.341,43.2,31.4,11.8,8.2
Boston Celtics,2025-03-24,SAC,114.4,0.48200000000000004,0.36960000000000004,42.6,31.6,11.0,7.6
Boston Celtics,2025-03-26,PHX,116.4,0.4864,0.36960000000000004,43.4,32.2,11.2,7.8
Boston Celtics,2025-03-29,SAS,119.8,0.4828,0.38580000000000003,45.4,34.6,10.8,8.4
Boston Celtics,2025-03-31,MEM,123.2,0.49000000000000005,0.38580000000000003,46.6,34.0,12.6,7.6
Boston Celtics,2025-04-02,MIA,122.4,0.47840000000000005,0.387,47.8,36.0,11.8,5.8
Boston Celtics,2025-04-04,PHX,117.2,0.4590000000000001,0.3508,48.8,35.4,13.4,5.2
Boston Celtics,2025-04-06,WAS,119.2,0.47119999999999995,0.3466,49.6,36.2,13.4,3.6
Boston Celtics,2025-04-08,NYK,117.6,0.46799999999999997,0.3544,52.4,36.2,16.2,3.2
Boston Celtics,2025-04-09,ORL,117.2,0.46420000000000006,0.3654,49.2,34.2,15.0,4.4
Boston Celtics,2025-04-11,CHA,109.0,0.461,0.3326,47.0,32.6,14.4,4.6
Boston Celtics,2025-04-13,CHA,114.4,0.4746,0.367,48.8,36.2,12.6,5.8
Brooklyn Nets,2024-10-23,ATL,,,,,,,
Brooklyn Nets,2024-10-25,ORL,,,,,,,
Brooklyn Nets,2024-10-27,MIL,,,,,,,
Brooklyn Nets,2024-10-29,DEN,,,,,,,
Brooklyn Nets,2024-10-30,MEM,,,,,,,
Brooklyn Nets,2024-11-01,CHI,118.0,0.4628,0.376,40.4,31.0,9.4,7.6
Brooklyn Nets,2024-11-03,DET,118.8,0.479,0.35819999999999996,41.0,32.2,8.8,8.2
Brooklyn Nets,2024-11-04,MEM,117.0,0.4848,0.34059999999999996,39.0,31.0,8.0,8.6
Brooklyn Nets,2024-11-08,BOS,115.2,0.49420000000000003,0.3416,37.0,29.0,8.0,8.2
Brooklyn Nets,2024-11-09,CLE,108.2,0.4742,0.3172,39.0,30.0,9.0,8.6
Brooklyn Nets,2024-11-11,NOP,104.4,0.461,0.31379999999999997,39.4,30.0,9.4,7.4
Brooklyn Nets,2024-11-13,BOS,101.8,0.4426,0.343,39.4,29.0,10.4,6.0
Brooklyn Nets,2024-11-15,NYK,106.2,0.45359999999999995,0.3734,40.8,30.6,10.2,5.0
Brooklyn Nets,2024-11-17,NYK,109.4,0.446,0.38380000000000003,40.8,31.0,9.8,5.2
Brooklyn Nets,2024-11-19,CHA,109.4,0.44820000000000004,0.4142,37.6,28.8,8.8,4.2
Brooklyn Nets,2024-11-22,PHI,112.6,0.45759999999999995,0.43220000000000003,37.6,28.8,8.8,5.0
Brooklyn Nets,2024-11-24,SAC,110.8,0.4706,0.41200000000000003,35.2,27.8,7.4,4.4
Brooklyn Nets,2024-11-25,GSW,109.6,0.4654,0.421,34.6,26.6,8.0,5.0
Brooklyn Nets,2024-11-27,PHX,110.8,0.4766,0.4272,35.6,28.2,7.4,4.6
Brooklyn Nets,2024-11-29,ORL,115.4,0.4936,0.43,35.8,28.4,7.4,6.0
Brooklyn Nets,2024-12-01,ORL,112.2,0.4936,0.43879999999999997,35.6,29.2,6.4,5.4
Brooklyn Nets,2024-12-02,CHI,111.0,0.4708,0.4202,35.4,28.8,6.6,7.2
Brooklyn Nets,2024-12-04,IND,109.8,0.4548,0.3894,37.4,30.0,7.4,7.6
Brooklyn Nets,2024-12-08,MIL,104.0,0.44239999999999996,0.3672,37.6,30.2,7.4,8.8
Brooklyn Nets,2024-12-13,MEM,101.2,0.4424,0.37279999999999996,36.4,29.0,7.4,9.0
Brooklyn Nets,2024-12-16,CLE,105.0,0.43499999999999994,0.3516,37.6,29.6,8.0,9.8
Brooklyn Nets,2024-12-19,TOR,106.8,0.44299999999999995,0.3824,38.0,29.8,8.2,10.0
Brooklyn Nets,2024-12-21,UTA,106.6,0.4434,0.362,40.4,31.2,9.2,8.8
Brooklyn Nets,2024-12-23,MIA,105.6,0.4378,0.33039999999999997,41.8,30.8,11.0,8.2
Brooklyn Nets,2024-12-26,MIL,102.0,0.4152,0.3154,44.2,32.4,11.8,8.2
Brooklyn Nets,2024-12-27,SAS,100.4,0.41899999999999993,0.3242,43.6,31.6,12.0,8.0
Brooklyn Nets,2024-12-29,ORL,97.6,0.4128,0.30039999999999994,45.6,33.0,12.6,7.4
Brooklyn Nets,2025-01-01,TOR,97.6,0.42000000000000004,0.3408,42.6,31.2,11.4,8.2
Brooklyn Nets,2025-01-02,MIL,101.4,0.43579999999999997,0.3652,39.0,30.0,9.0,8.0
Brooklyn Nets,2025-01-04,PHI,105.0,0.4436,0.35039999999999993,40.8,31.2,9.6,7.8
Brooklyn Nets,2025-01-06,IND,101.6,0.4314,0.33440000000000003,41.0,32.0,9.0,7.4
Brooklyn Nets,2025-01-08,DET,104.0,0.4372,0.3364,42.2,31.6,10.6,7.4
Brooklyn Nets,2025-01-10,DEN,103.4,0.4264,0.3164,42.2,31.6,10.6,8.0
Brooklyn Nets,2025-01-12,UTA,101.8,0.41419999999999996,0.31920000000000004,43.6,31.8,11.8,8.2
Brooklyn Nets,2025-01-14,POR,101.4,0.41259999999999997,0.3076,44.2,32.2,12.0,7.6
Brooklyn Nets,2025-01-15,LAC,109.0,0.4384,0.332,45.2,32.4,12.8,8.6
Brooklyn Nets,2025-01-17,LAL,102.6,0.41500000000000004,0.30720000000000003,42.8,31.0,11.8,8.8
Brooklyn Nets,2025-01-19,OKC,103.2,0.42840000000000006,0.32999999999999996,44.2,31.8,12.4,7.8
Brooklyn Nets,2025-01-21,NYK,102.4,0.429,0.3236,44.6,31.8,12.8,7.0
Brooklyn Nets,2025-01-22,PHX,99.2,0.41859999999999997,0.3336,43.2,30.6,12.6,6.8
Brooklyn Nets,2025-01-25,MIA,89.6,0.3846,0.2798,44.8,30.2,14.6,6.2
Brooklyn Nets,2025-01-27,SAC,95.6,0.39940000000000003,0.31399999999999995,44.0,30.8,13.2,6.6
Brooklyn Nets,2025-01-29,CHA,94.6,0.38239999999999996,0.28019999999999995,42.8,28.8,14.0,7.4
Brooklyn Nets,2025-02-01,HOU,95.2,0.39499999999999996,0.28700000000000003,42.6,29.6,13.0,8.6
Brooklyn Nets,2025-02-04,HOU,98.2,0.4194,0.301,42.4,29.6,12.8,8.8
Brooklyn Nets,2025-02-05,WAS,101.2,0.4372,0.3362,39.8,29.0,10.8,9.2
Brooklyn Nets,2025-02-07,MIA,102.2,0.449,0.3346,40.2,28.6,11.6,8.4
Brooklyn Nets,2025-02-10,CHA,103.4,0.4596,0.333,43.8,31.8,12.0,8.2
Brooklyn Nets,2025-02-12,PHI,102.0,0.44160000000000005,0.31799999999999995,45.2,30.8,14.4,8.0
Brooklyn Nets,2025-02-20,CLE,100.0,0.437,0.2974,46.0,31.0,15.0,9.6
Brooklyn Nets,2025-02-22,PHI,99.6,0.4244,0.27599999999999997,47.2,31.4,15.8,9.0
Brooklyn Nets,2025-02-24,WAS,100.2,0.43879999999999997,0.25759999999999994,47.6,32.4,15.2,9.6
Brooklyn Nets,2025-02-26,OKC,99.6,0.43360000000000004,0.2814,44.0,29.2,14.8,11.2
Brooklyn Nets,2025-02-28,POR,104.4,0.43579999999999997,0.3092,43.8,29.2,14.6,10.6
Brooklyn Nets,2025-03-01,DET,104.8,0.4244,0.304,42.8,27.2,15.6,10.6
Brooklyn Nets,2025-03-04,SAS,104.2,0.40540000000000004,0.2822,41.4,25.8,15.6,11.6
Brooklyn Nets,2025-03-06,GSW,105.8,0.39479999999999993,0.3002,41.6,25.6,16.0,11.2
Brooklyn Nets,2025-03-08,CHA,109.8,0.41740000000000005,0.3134,40.2,25.8,14.4,9.4
Brooklyn Nets,2025-03-10,LAL,106.0,0.4282,0.294,38.4,26.0,12.4,9.2
Brooklyn Nets,2025-03-11,CLE,107.8,0.4276,0.3258,38.8,27.4,11.4,8.6
Brooklyn Nets,2025-03-13,CHI,109.8,0.45940000000000003,0.3678,38.8,28.6,10.2,8.0
Brooklyn Nets,2025-03-15,BOS,109.2,0.45840000000000003,0.3646,40.8,29.8,11.0,7.6
Brooklyn Nets,2025-03-16,ATL,108.0,0.4506,0.3606,43.4,30.4,13.0,7.0
Brooklyn Nets,2025-03-18,BOS,112.0,0.45360000000000006,0.4018,44.0,30.2,13.8,7.2
Brooklyn Nets,2025-03-20,IND,109.0,0.4532,0.37960000000000005,42.4,30.2,12.2,7.0
Brooklyn Nets,2025-03-22,IND,108.0,0.4316,0.3628,44.2,30.8,13.4,7.4
Brooklyn Nets,2025-03-24,DAL,106.6,0.42860000000000004,0.3678,43.8,31.2,12.6,7.4
Brooklyn Nets,2025-03-26,TOR,104.2,0.4378,0.34740000000000004,42.2,31.4,10.8,8.0
Brooklyn Nets,2025-03-28,LAC,97.0,0.41340000000000005,0.2892,42.8,32.4,10.4,7.8
Brooklyn Nets,2025-03-29,WAS,97.8,0.4058,0.291,43.6,32.8,10.8,8.0
Brooklyn Nets,2025-03-31,DAL,101.0,0.4232,0.3132,44.0,33.6,10.4,6.2
Brooklyn Nets,2025-04-03,MIN,103.0,0.4232,0.32180000000000003,42.4,32.8,9.6,6.2
Brooklyn Nets,2025-04-06,TOR,100.8,0.40599999999999997,0.31639999999999996,41.8,32.4,9.4,7.0
Brooklyn Nets,2025-04-08,NOP,105.4,0.43,0.3346,42.4,33.4,9.0,7.4
Brooklyn Nets,2025-04-10,ATL,109.2,0.4546,0.36,41.8,33.4,8.4,7.6
Brooklyn Nets,2025-04-11,MIN,108.0,0.446,0.3664,40.2,32.2,8.0,8.8
Brooklyn Nets,2025-04-13,NYK,103.6,0.4328,0.34659999999999996,40.4,30.8,9.6,9.0
Charlotte Hornets,2024-10-23,HOU,,,,,,,
Charlotte Hornets,2024-10-25,ATL,,,,,,,
Charlotte Hornets,2024-10-26,MIA,,,,,,,
Charlotte Hornets,2024-10-30,TOR,,,,,,,
Charlotte Hornets,2024-11-01,BOS,,,,,,,
Charlotte Hornets,2024-11-02,BOS,116.6,0.4506,0.3908,47.0,31.4,15.6,6.6
Charlotte Hornets,2024-11-04,MIN,115.2,0.4492,0.3948,42.6,28.6,14.0,7.4
Charlotte Hornets,2024-11-06,DET,109.8,0.4518,0.36,39.6,28.2,11.4,8.0
Charlotte Hornets,2024-11-08,IND,110.2,0.4508,0.3602,39.8,29.8,10.0,7.8
Charlotte Hornets,2024-11-10,PHI,103.2,0.43100000000000005,0.33940000000000003,43.4,33.6,9.8,7.2
Charlotte Hornets,2024-11-12,ORL,102.4,0.4144,0.312,45.0,35.2,9.8,8.2
Charlotte Hornets,2024-11-16,MIL,99.6,0.4074,0.2994,47.8,37.8,10.0,7.6
Charlotte Hornets,2024-11-17,CLE,104.0,0.41600000000000004,0.32320000000000004,50.8,39.4,11.4,7.0
Charlotte Hornets,2024-11-19,BKN,105.2,0.41100000000000003,0.3366,49.4,36.2,13.2,8.4
Charlotte Hornets,2024-11-21,DET,107.6,0.4192,0.37679999999999997,47.0,33.8,13.2,8.4
Charlotte Hornets,2024-11-23,MIL,111.2,0.438,0.41600000000000004,45.6,32.6,13.0,8.8
Charlotte Hornets,2024-11-25,ORL,117.2,0.43900000000000006,0.4284,45.6,31.4,14.2,8.6
Charlotte Hornets,2024-11-27,MIA,111.0,0.43339999999999995,0.4008,45.4,31.8,13.6,8.4
Charlotte Hornets,2024-11-29,NYK,107.0,0.4274,0.39039999999999997,46.0,32.6,13.4,8.0
Charlotte Hornets,2024-11-30,ATL,103.6,0.41559999999999997,0.34600000000000003,45.0,31.4,13.6,8.4
Charlotte Hornets,2024-12-03,PHI,99.8,0.3954,0.33,45.4,30.4,15.0,8.6
Charlotte Hornets,2024-12-05,NYK,96.8,0.4018,0.3256,45.2,30.0,15.2,8.4
Charlotte Hornets,2024-12-07,CLE,100.2,0.409,0.3588,42.8,28.2,14.6,7.8
Charlotte Hornets,2024-12-08,IND,101.8,0.4194,0.34859999999999997,41.6,28.2,13.4,7.0
Charlotte Hornets,2024-12-13,CHI,104.8,0.4412,0.3814,42.8,30.2,12.6,7.6
Charlotte Hornets,2024-12-16,PHI,103.0,0.4382,0.3412,44.6,32.2,12.4,6.4
